ID_akcija;datum;POPULACIJE_ID_populacije;TIPOVI_AKCIJA_ID_tipa_akcije;TIMOVI_ID_tima;REZERVOARI_ID_rezervoara
1;2020-10-22;44594;2;10;217
2;2020-03-18;10449;7;318;485
3;2021-01-28;20104;5;238;595
4;2020-07-03;48540;3;163;346
5;2022-06-26;24421;1;254;618
6;2021-11-01;3106;6;45;813
7;2020-04-24;43149;6;343;
8;2021-07-10;19019;1;45;710
9;2021-01-03;42939;6;203;100
10;2020-10-24;3972;2;443;324
11;2021-12-24;41919;2;24;13
12;2020-06-26;34689;1;331;196
13;2022-02-28;40969;2;493;
14;2020-04-12;2449;6;451;685
15;2023-09-18;39159;7;384;532
16;2020-03-11;36532;4;3;601
17;2022-12-02;39667;7;92;
18;2021-03-01;32033;4;275;36
19;2020-04-04;16831;4;434;699
20;2023-11-04;10519;7;10;913
21;2020-12-30;27113;7;303;200
22;2021-03-05;23582;1;11;414
23;2023-09-17;45836;3;235;353
24;2021-12-28;8929;1;236;142
25;2023-03-28;31247;1;206;732
26;2022-06-12;11485;1;246;17
27;2022-03-01;19528;3;484;888
28;2022-05-17;26566;1;154;288
29;2020-01-15;25883;6;26;
30;2022-04-15;46151;7;77;
31;2023-01-09;39630;5;460;819
32;2020-02-13;32153;3;224;789
33;2020-07-11;30041;5;446;
34;2021-09-20;37614;1;307;897
35;2023-09-05;23378;2;165;68
36;2023-10-30;21846;3;366;29
37;2020-05-06;34152;2;307;837
38;2022-01-23;24174;4;489;
39;2022-11-26;22524;6;346;74
40;2022-08-25;16341;6;379;159
41;2023-02-11;33494;2;439;
42;2022-10-14;30602;2;33;649
43;2022-07-18;36521;5;244;883
44;2023-11-23;28944;4;309;981
45;2022-04-15;41488;3;149;341
46;2023-06-15;17077;1;260;760
47;2023-12-13;3530;5;370;
48;2020-05-19;13415;2;62;863
49;2022-05-22;11740;1;469;
50;2022-08-24;8500;7;484;
51;2023-02-27;31644;5;258;579
52;2021-02-02;47241;7;239;831
53;2023-03-30;26648;4;182;943
54;2020-05-10;20829;2;171;240
55;2022-01-04;21358;3;144;736
56;2023-12-15;36698;5;414;16
57;2022-08-18;12104;7;32;286
58;2022-03-29;47836;1;466;
59;2023-09-12;38638;1;355;661
60;2022-05-30;23197;5;418;56
61;2022-10-04;40296;6;164;827
62;2021-12-07;10124;4;211;608
63;2022-09-03;46352;6;119;427
64;2023-10-17;38189;5;340;
65;2021-04-09;11658;2;42;
66;2021-06-23;20336;7;5;629
67;2020-02-09;17857;2;295;135
68;2021-09-28;30539;1;52;301
69;2023-01-20;23820;5;67;
70;2023-03-16;19166;1;91;659
71;2020-10-18;24929;5;358;494
72;2020-12-17;44036;7;403;91
73;2020-08-01;28491;7;401;463
74;2023-02-23;26907;3;436;202
75;2023-12-23;30256;5;462;
76;2023-08-09;41114;7;271;
77;2021-11-29;45807;4;427;470
78;2023-03-16;28384;2;258;
79;2021-09-24;16586;4;169;916
80;2023-05-22;23927;3;407;498
81;2023-07-21;22758;3;8;161
82;2022-06-14;6858;3;413;
83;2021-09-15;35460;6;167;164
84;2020-05-21;20684;3;173;
85;2020-03-30;36832;5;73;747
86;2023-11-13;48855;2;452;
87;2020-07-28;45453;5;248;
88;2022-01-27;5542;6;368;
89;2023-01-02;28156;6;349;
90;2021-04-01;7186;6;170;516
91;2023-11-22;10938;5;485;127
92;2023-08-09;1561;6;165;265
93;2023-08-10;16810;6;248;
94;2020-07-17;17637;4;429;
95;2022-03-22;47191;3;341;53
96;2023-02-10;1359;1;290;
97;2023-06-13;15602;6;247;
98;2022-04-23;41911;3;323;991
99;2023-12-13;36674;6;43;
100;2023-05-06;47435;4;210;
101;2022-02-05;19948;6;382;18
102;2021-07-29;5988;1;339;
103;2022-06-24;32409;6;331;490
104;2021-01-08;48156;7;312;233
105;2022-07-08;49905;1;198;587
106;2023-09-01;38045;4;309;297
107;2022-08-14;12922;6;493;341
108;2023-09-22;6429;5;153;762
109;2022-07-14;30793;2;405;795
110;2020-08-20;5039;7;262;
111;2022-03-03;3502;3;255;213
112;2021-10-07;32017;3;309;
113;2022-04-18;10752;4;267;987
114;2023-09-24;43389;5;328;799
115;2023-04-16;26052;5;57;
116;2023-03-08;18051;2;12;
117;2020-11-08;5075;3;479;562
118;2022-04-30;28473;1;373;543
119;2023-08-11;15211;4;21;
120;2021-05-15;2093;3;43;913
121;2020-08-06;25138;5;457;
122;2021-08-12;35385;4;475;
123;2023-03-15;32813;5;458;417
124;2023-07-22;41927;6;64;126
125;2020-03-28;29016;4;224;
126;2020-04-14;4154;4;46;802
127;2023-05-13;40927;7;374;445
128;2020-08-31;18603;3;199;91
129;2022-10-13;9720;7;89;
130;2022-02-16;47675;5;452;663
131;2020-01-17;48341;1;410;688
132;2023-05-01;16341;6;325;523
133;2021-08-27;30601;4;114;995
134;2023-04-05;42847;4;8;
135;2020-12-18;11246;2;268;772
136;2020-11-26;40030;6;295;678
137;2021-04-26;30856;3;235;
138;2022-02-08;2038;7;434;
139;2023-07-24;11702;2;211;
140;2020-08-03;13879;5;374;765
141;2023-03-07;19117;5;300;
142;2020-08-25;15032;5;89;
143;2022-12-29;13554;2;230;
144;2023-05-30;22360;5;208;704
145;2021-08-10;2799;1;327;470
146;2023-06-01;27724;1;163;769
147;2021-05-10;9483;6;148;
148;2023-04-24;36808;1;276;692
149;2021-10-05;4608;3;329;463
150;2022-04-09;16352;1;356;
151;2023-01-12;21365;5;125;659
152;2023-06-29;39389;6;208;812
153;2022-07-15;46358;5;387;177
154;2022-04-29;8419;3;268;
155;2020-08-04;25803;5;243;661
156;2022-02-16;45242;4;390;287
157;2021-11-28;41081;6;346;335
158;2021-01-03;37159;6;414;783
159;2022-08-28;43480;1;479;
160;2020-11-24;28898;7;86;
161;2022-09-16;9396;3;398;906
162;2023-03-16;20247;2;28;
163;2020-01-19;33544;6;398;214
164;2023-06-12;29463;6;204;
165;2021-12-21;36375;7;230;348
166;2023-10-11;16887;2;372;
167;2020-10-19;48453;4;220;966
168;2021-01-07;42257;5;67;17
169;2023-04-16;46809;7;397;197
170;2023-07-11;28116;3;23;
171;2021-04-20;42347;1;248;619
172;2020-05-06;7974;6;313;
173;2021-08-28;44819;7;411;934
174;2023-01-28;41352;7;361;568
175;2023-09-06;5411;1;394;936
176;2023-06-12;21330;7;221;
177;2020-07-09;8135;1;255;
178;2021-12-31;44959;7;89;916
179;2022-01-15;30023;4;182;
180;2020-03-08;30621;4;226;889
181;2023-06-06;44743;5;348;684
182;2022-08-22;35213;3;477;333
183;2023-06-18;46161;2;437;
184;2020-12-26;40112;2;200;155
185;2022-10-04;40930;5;120;884
186;2022-03-27;45300;7;473;761
187;2023-09-23;23410;6;431;
188;2022-07-20;43049;5;494;671
189;2023-07-15;26159;7;244;16
190;2023-10-18;47939;6;90;
191;2023-02-18;21468;1;301;550
192;2022-12-06;446;7;89;43
193;2023-12-29;42611;1;189;878
194;2021-02-21;11954;4;445;486
195;2023-11-16;20298;6;347;99
196;2022-04-10;39299;3;161;637
197;2020-08-26;28113;2;489;
198;2021-06-22;16332;2;64;490
199;2021-07-23;10065;7;315;697
200;2022-01-26;22493;6;193;275
201;2023-02-07;44140;7;199;985
202;2020-01-09;13979;3;369;538
203;2021-05-27;44329;3;321;206
204;2021-04-10;25021;4;452;623
205;2023-03-10;46620;4;347;
206;2023-11-09;38393;3;305;186
207;2020-01-12;32326;5;76;435
208;2020-02-24;6936;3;248;
209;2021-05-04;38033;5;10;
210;2021-07-18;2039;1;39;168
211;2020-05-06;43966;1;209;96
212;2021-02-04;16430;3;341;645
213;2020-07-24;24215;1;209;
214;2022-07-11;18099;7;53;356
215;2021-08-08;30851;6;414;360
216;2020-11-09;22373;7;344;78
217;2020-03-01;4170;4;468;738
218;2023-08-07;1168;7;53;
219;2021-10-03;9476;3;330;
220;2022-04-30;45124;1;36;677
221;2022-01-19;28405;5;89;417
222;2021-06-28;3366;7;23;440
223;2021-03-05;17546;1;164;
224;2023-09-02;38371;3;243;809
225;2020-02-18;27408;3;97;357
226;2020-01-11;28708;5;219;
227;2021-05-04;24753;4;120;
228;2021-02-10;41200;2;105;714
229;2021-08-17;11262;3;409;809
230;2023-03-18;10934;7;357;
231;2021-04-14;23875;5;25;42
232;2021-09-23;42053;5;121;175
233;2021-02-01;46475;3;145;567
234;2021-08-22;3792;2;62;376
235;2022-01-26;11416;7;396;202
236;2022-04-25;38287;2;49;891
237;2023-01-14;18933;1;417;24
238;2021-06-12;13889;3;164;
239;2022-08-22;24097;3;294;
240;2021-06-13;20213;5;139;
241;2021-10-13;44137;6;233;
242;2022-11-13;23031;1;316;
243;2021-05-10;38721;5;132;
244;2023-06-11;25848;6;248;753
245;2023-05-07;13460;3;445;353
246;2023-11-25;29487;2;341;528
247;2021-09-12;36631;4;182;
248;2022-09-14;14962;7;482;570
249;2022-06-04;18599;7;461;
250;2023-06-29;42380;3;188;722
251;2023-02-25;37471;3;496;340
252;2020-01-20;12679;3;202;389
253;2020-07-03;32578;1;254;
254;2023-09-12;27553;4;224;484
255;2021-09-03;9426;2;170;270
256;2021-03-31;15442;7;500;489
257;2021-06-20;24023;2;300;970
258;2022-06-14;34164;7;203;780
259;2022-12-02;37489;6;80;
260;2020-05-07;38691;6;36;
261;2021-05-19;21446;6;279;409
262;2021-11-20;28959;5;392;38
263;2023-06-12;45821;1;210;
264;2022-05-02;6415;5;157;626
265;2021-12-18;6712;1;437;592
266;2020-06-02;24128;5;415;633
267;2021-03-28;45960;3;448;546
268;2021-12-04;13774;5;48;840
269;2020-12-28;47860;7;235;698
270;2023-03-11;9649;1;436;457
271;2021-11-22;37442;6;397;875
272;2020-08-18;58;5;150;545
273;2022-07-29;43313;5;297;478
274;2020-01-24;33591;3;409;
275;2023-11-27;49904;5;202;
276;2021-09-18;26375;3;64;613
277;2020-06-16;26133;2;163;
278;2021-06-29;16362;4;327;
279;2023-01-13;16164;4;59;720
280;2023-06-03;33817;6;111;729
281;2022-07-09;23007;3;96;
282;2022-04-27;36711;3;100;103
283;2022-02-27;38124;1;417;
284;2021-01-24;32109;7;496;
285;2021-11-20;41616;5;66;
286;2023-08-18;38123;4;98;537
287;2022-09-01;7292;1;37;870
288;2022-04-29;25147;3;456;444
289;2023-01-11;32721;1;148;
290;2020-01-17;25604;7;263;742
291;2020-02-21;18204;2;44;990
292;2023-01-13;11383;7;29;475
293;2022-02-15;2166;1;324;337
294;2020-02-10;2904;5;141;
295;2023-09-28;27143;5;120;
296;2020-09-28;26129;1;460;576
297;2022-07-29;33677;5;264;26
298;2022-09-18;18381;4;329;885
299;2022-02-27;14510;2;149;
300;2023-06-11;39741;6;307;
301;2021-07-22;16325;2;434;816
302;2022-02-17;15874;6;72;
303;2023-06-04;19636;7;99;533
304;2023-12-30;27203;4;204;
305;2021-06-11;42221;3;384;618
306;2020-08-05;9618;3;133;386
307;2020-11-17;48155;7;197;
308;2023-06-30;26157;2;172;915
309;2022-04-17;13443;5;232;467
310;2022-05-17;11464;4;451;416
311;2021-10-25;15754;4;269;333
312;2020-09-09;4252;7;302;355
313;2021-11-24;36261;5;402;924
314;2020-03-18;10026;2;339;
315;2020-09-15;43182;5;490;590
316;2022-03-13;4703;2;292;804
317;2023-01-14;29399;6;167;
318;2020-06-08;12062;7;208;369
319;2021-04-27;23383;4;499;
320;2021-09-27;22736;7;46;482
321;2022-10-31;47338;6;410;88
322;2021-07-31;30497;3;80;547
323;2022-04-24;8477;6;435;960
324;2023-04-23;5258;5;55;
325;2023-02-20;789;1;22;12
326;2022-01-31;19653;4;173;
327;2023-09-14;41954;7;374;359
328;2021-03-31;3477;7;424;399
329;2021-04-12;4025;1;473;815
330;2022-12-01;21635;4;199;331
331;2022-02-14;34318;3;92;
332;2022-10-07;32397;6;276;
333;2021-10-05;24132;6;2;838
334;2022-11-13;37421;3;456;
335;2022-03-25;34731;1;319;
336;2023-01-13;7259;7;43;876
337;2023-08-23;37236;3;328;
338;2023-09-01;12902;2;372;604
339;2023-09-20;1061;5;491;709
340;2021-06-08;10613;7;287;
341;2023-05-04;24700;6;208;826
342;2022-07-27;1868;1;158;258
343;2023-08-22;19842;1;360;847
344;2020-07-15;33683;6;179;775
345;2023-01-11;22531;7;309;229
346;2020-01-01;2330;2;87;908
347;2021-08-18;28230;4;194;972
348;2022-07-23;26206;5;109;339
349;2021-03-01;17561;3;361;322
350;2023-12-06;40879;1;138;
351;2020-10-30;16678;6;53;901
352;2022-03-29;19663;3;298;970
353;2022-03-15;22868;1;131;532
354;2021-06-15;12715;1;375;215
355;2022-12-03;47395;7;221;182
356;2022-06-05;43878;5;325;644
357;2022-04-18;5248;3;81;926
358;2022-06-23;26082;5;274;245
359;2020-11-24;39772;6;28;
360;2022-03-18;42869;1;52;320
361;2020-04-17;24846;7;71;416
362;2021-10-09;18104;3;442;395
363;2021-12-04;11689;5;34;60
364;2022-12-07;39133;6;255;949
365;2020-02-27;10968;2;146;473
366;2020-03-24;39313;6;23;
367;2023-07-09;7758;5;411;
368;2023-06-03;34401;3;40;779
369;2023-04-30;46797;1;399;693
370;2022-01-24;42666;4;5;
371;2022-05-23;31790;1;275;
372;2023-09-09;11288;2;473;872
373;2023-02-19;9918;5;98;672
374;2022-06-15;49156;5;227;
375;2023-02-26;48400;5;212;948
376;2020-05-27;1319;6;145;
377;2021-10-22;42785;5;335;525
378;2021-05-20;47552;7;155;
379;2021-08-02;10779;4;323;984
380;2022-10-05;48284;7;232;213
381;2021-03-08;15805;6;250;
382;2023-05-09;47805;1;186;
383;2022-11-22;46579;7;456;
384;2020-11-22;48417;2;270;178
