ID_edukacije;naziv_edukacije;opis_edukacije;datum_odrzavanja;broj_mjesta;broj_posjetitelja;TIMOVI_ID_tima;MJESTA_ID_mjesta
1;Edukacija: Balanced multi-tasking emulation;Democrat peace event scene also live lot effect. Real factor game provide artist simply food. Near child test hundred glass east.;2026-06-06;98;0;73;352
2;Edukacija: Customer-focused disintermediate solution;"Shoulder outside pay evidence task reveal hundred. Hair laugh hair team side. Few sea occur occur brother issue beat.
He event project hand.";2026-05-28;57;0;282;485
3;Edukacija: Cross-platform clear-thinking customer loyalty;"Wife board while boy.
Treatment bring hard carry thought identify. Billion character around food by forget range. Political last walk computer.";2026-06-06;53;0;381;141
4;Edukacija: Cross-group non-volatile middleware;However do physical. To ok develop in our reason. Ahead without commercial peace PM themselves what. Religious yes think military way.;2026-06-09;55;0;162;446
5;Edukacija: Fully-configurable radical hierarchy;"Laugh series though turn edge yeah show. Sense wall particular knowledge job.
Purpose phone hard radio. Camera attack development alone nature.";2026-06-06;24;0;109;318
6;Edukacija: Upgradable transitional core;"Degree bar director we official can.
Small partner leave. Officer hear least explain most poor miss.";2026-05-22;24;0;458;295
7;Edukacija: Visionary dynamic circuit;Open still require drop develop nothing her me. Reduce college research president since rather certainly. Check road community weight second.;2026-05-22;63;0;401;13
8;Edukacija: Total leadingedge solution;"Democrat lose participant true production study. Radio article bank hair.
Baby scientist add read two hospital. Early large director should less he energy.
Bad mouth good need church pull.";2026-05-22;37;0;471;160
9;Edukacija: Future-proofed multimedia firmware;"Four song organization send when take executive.
Training attention concern few team officer let. Beyond various bill. Much outside authority yard produce.";2026-05-26;76;0;442;85
10;Edukacija: Object-based bifurcated productivity;Central exactly safe. Page she Democrat consumer street conference amount protect. Sense scene create truth.;2026-05-25;40;0;220;254
11;Edukacija: Triple-buffered scalable help-desk;"Song hard point book hard work. Million draw girl general never design something. People pay so assume teach others.
Your might raise more control civil least. Situation us tree current she.";2026-06-12;79;0;288;466
12;Edukacija: Function-based composite collaboration;Back require building remain smile air shoulder young. Vote medical environmental long in style improve. Prove manage operation draw cost change.;2026-06-04;36;0;281;364
13;Edukacija: Profit-focused upward-trending standardization;"Edge medical door eight just apply. Government case join remain.
Crime discover family perhaps. Until two style candidate.";2026-05-28;72;0;101;203
14;Edukacija: Monitored stable knowledge user;Back technology common science half different. Fish represent fast pressure father. Character sit baby head your now remember.;2026-06-06;82;0;431;326
15;Edukacija: Balanced multimedia firmware;"Many arm fill her. Usually ability old save.
Commercial like than beyond quite reality situation time. Reason allow during require. Church short but responsibility.";2026-06-12;34;0;75;488
16;Edukacija: Open-source user-facing collaboration;"Weight young tree. Plan investment thought research. Although black difficult system physical hand green lot.
Security tree subject white history firm. Media certainly lay table.";2026-06-02;40;0;273;9
17;Edukacija: Vision-oriented logistical support;By chair cell audience discuss employee. Region especially cold discuss southern to few. Between blood economic maybe.;2026-06-11;14;0;133;356
18;Edukacija: Compatible contextually-based ability;"Something democratic notice. Always animal morning little.
Detail bring fill mention. Strong baby usually medical successful size surface. Read fall beautiful operation place officer.";2026-06-02;40;0;211;131
19;Edukacija: Profound mobile moratorium;Grow take moment according training. Region leave check scene range stay.;2026-05-27;66;0;187;266
20;Edukacija: Open-architected holistic Graphical User Interface;"Head say certainly home Democrat mission often data. Discussion doctor with wish us. Themselves pull recently no easy network.
Stop character decision itself gun. Fund staff deep set.";2026-05-18;49;0;212;216
21;Edukacija: Inverse radical array;"Risk vote measure back likely area. Late right road team.
Street edge total all ability. Majority require perhaps sister bill back cut.
Four onto skill continue. Fast cell system center well.";2026-05-26;45;0;265;221
22;Edukacija: Networked next generation standardization;"Theory strategy about. Explain difference stay including in goal.
Carry amount maybe claim. Sure newspaper glass lawyer expert into suddenly push. Ability green keep them cost particularly.";2026-06-02;71;0;484;365
23;Edukacija: Decentralized next generation task-force;"Prevent human same finish.
Majority sure some.
Push chance market these stock. Head training democratic free choice old plant.";2026-05-31;44;0;51;202
24;Edukacija: Multi-channeled impactful standardization;Rest space behavior really same account. Door safe put doctor water military. Plant what trade member very. Staff include one leader.;2026-05-23;39;0;252;393
25;Edukacija: Reactive fresh-thinking solution;"Establish range exactly. Leader their your front. Effort already approach health doctor TV anything.
Big phone upon. Seven sister far respond.";2026-06-05;21;0;67;20
26;Edukacija: Assimilated 5thgeneration hierarchy;Hold sister want dinner Mr. Moment even evidence scientist exist bad. Bad long high already response exist. Return teach during fact.;2026-05-29;61;0;117;55
27;Edukacija: Expanded value-added approach;"Case change candidate job grow game.
Blue her number change. Market check result create than interview but. Pull result cause tend course.";2026-05-25;68;0;171;177
28;Edukacija: Robust didactic structure;Establish generation range you. Responsibility community community population total north.;2026-06-11;31;0;295;227
29;Edukacija: Public-key homogeneous productivity;"Contain under myself there prepare gun. Company when protect anyone remain state sister.
Believe you why tend star season service. Leave a family test bed tree. Act world tend budget.";2026-05-28;71;0;205;20
30;Edukacija: Expanded holistic adapter;"You perhaps space owner.
Car want third perhaps then could hotel member. Cover land design identify include season product. Gun explain available ago.";2026-06-06;25;0;134;184
31;Edukacija: Persevering cohesive instruction set;"Kind appear response here marriage go half. Out church economy shoulder in field. Threat again professor place official hear church.
Identify to not past get. Exactly few including voice.";2026-05-18;75;0;155;3
32;Edukacija: Cloned 3rdgeneration flexibility;"Once career buy million movement local. Necessary wind against.
Recent local each watch court sense race. From total recent probably. Against reveal investment community oil commercial.";2026-06-14;75;0;53;57
33;Edukacija: Ameliorated 3rdgeneration orchestration;"Nothing eye decide station. Pm herself heavy conference quality.
Data notice reality task and today eight. Network structure material into cold. Whom Mr and big.";2026-05-26;44;0;130;410
34;Edukacija: Virtual discrete circuit;Us card citizen claim instead. Particularly third administration as. Design prove ball present.;2026-06-05;20;0;190;225
35;Edukacija: Vision-oriented leadingedge database;"Job now dog not book. Cold break nature same fear appear against.
Occur control weight. Event memory cell full three fall toward.";2026-06-10;32;0;279;58
36;Edukacija: Reverse-engineered empowering matrix;"Today experience book follow matter authority. Society seek anything range. Laugh American open skin piece right meet. Do human type.
Material table boy. About choice money. Follow easy property no.";2026-05-17;100;0;160;365
37;Edukacija: Devolved directional matrix;"Candidate win ten eat mention senior. Media should she organization. Teacher range plan involve size election.
Return even economy stop bed. Industry eat name fall so list.";2026-05-23;37;0;360;195
38;Edukacija: Multi-tiered system-worthy extranet;"Phone sort wait store necessary thing. Difference relationship around while throughout.
Use effect factor full. International consider mission factor. Language eat now list.";2026-05-18;18;0;38;213
39;Edukacija: Front-line leadingedge focus group;"Break foreign traditional. Skill third interesting. Yeah the his budget. Guy today skill receive difference across design.
Girl various itself cell. Small culture stuff.";2026-05-20;78;0;196;61
40;Edukacija: Cross-group leadingedge time-frame;"Strong fish international do generation themselves. Various either western possible PM job.
Child production effort response at dog find.
Bar go return billion. National across sing player.";2026-06-09;23;0;158;198
41;Edukacija: Pre-emptive foreground time-frame;Miss control young pretty economic always boy. Gas vote help expert. Born grow water whatever development. Sort window respond out.;2026-05-21;13;0;441;102
42;Edukacija: Triple-buffered intangible superstructure;"Wide pull instead. His practice star we determine while economy kid.
Person decide base control. Them social rich ever game direction. Central administration within part color quickly human.";2026-05-30;58;0;39;46
43;Edukacija: Realigned incremental knowledge user;Difference can himself. Western fill grow chair black. Program worry act whose.;2026-05-27;76;0;312;86
44;Edukacija: Organic impactful ability;"Beyond think region after. Few issue fast cut easy media.
Performance production dark staff space baby room practice. South score pick great.";2026-05-17;61;0;384;384
45;Edukacija: Proactive holistic throughput;"Federal like plan last center method miss. Remain fear short guy.
Pass field month production group question. Cover analysis allow join. Such maybe commercial brother PM yet next.";2026-05-18;12;0;401;171
46;Edukacija: Sharable secondary flexibility;"Subject every firm treat task. Marriage prevent between suddenly around black. Yourself husband wear participant moment peace meeting.
Other research feel truth. Enter window world list why hotel.";2026-05-24;53;0;174;364
47;Edukacija: Progressive user-facing Graphical User Interface;"Follow himself ball through partner agree example lead.
Election reason how beautiful surface issue fly. Camera art human most yes board.
Itself expert task decade laugh. Property statement movie.";2026-06-13;90;0;139;195
48;Edukacija: Proactive fault-tolerant array;Miss himself resource move computer participant mention. As important dream. Professor interesting perform class water significant friend.;2026-06-07;54;0;466;133
49;Edukacija: Universal uniform collaboration;Both executive focus during kind remember miss. Yeah everybody discuss west remain worry run question.;2026-06-13;32;0;380;204
50;Edukacija: Operative optimizing infrastructure;"New general suggest interview could. At painting year instead personal note short receive. Source say listen hold reduce staff case.
Technology tell discussion. Live citizen just bank.";2026-06-03;74;0;497;127
51;Edukacija: Customizable contextually-based Local Area Network;"Plant best son body these staff author. She it employee article identify.
Early business happen.";2026-06-14;58;0;260;386
52;Edukacija: Digitized modular workforce;"According environment or whole various. We act plant week now what.
Scene huge quite defense tough. Fall measure say treatment decide. Develop happen tonight growth crime store first.";2026-05-23;42;0;474;435
53;Edukacija: Multi-channeled logistical throughput;Yes behavior our human ever. Field difficult approach body. Everyone little management develop generation heavy new.;2026-05-30;39;0;256;232
54;Edukacija: Function-based tangible open system;Blue oil range these easy. Better TV turn event. Inside sell her laugh lead senior. Identify all agreement stop always today mother character.;2026-05-23;21;0;137;414
55;Edukacija: Fundamental motivating product;"Collection return brother his popular. Point everything last project sport.
Different production they necessary rock Democrat. Character sport fly.";2026-06-01;13;0;102;149
56;Edukacija: Function-based content-based hardware;"Reality pass certainly star note gun director. Experience young great will realize.
Drug after reality adult whatever deal. Media culture career forward establish card blue.";2026-05-27;96;0;140;324
57;Edukacija: Configurable exuding contingency;"Year boy have south particular minute.
Pass themselves west strong nation talk person. Family trip of friend. Not investment whom across particularly may week understand.";2026-06-03;97;0;162;144
58;Edukacija: Multi-tiered 6thgeneration process improvement;"Sister month whether rule forget. Tend court particular method.
One report avoid meet. Word administration major wrong. Or wish relationship wear since able trouble civil.";2026-05-27;53;0;434;291
59;Edukacija: Intuitive stable system engine;Difficult hair my responsibility water reduce soldier. Offer expect call pretty.;2026-05-23;55;0;346;211
60;Edukacija: Networked secondary success;"Present skin strong beat difficult hour. Easy voice agency response.
What almost follow bit much notice military TV. Down care against mission hair fine.";2026-06-03;64;0;15;5
61;Edukacija: Polarized coherent system engine;Song help provide move half. Allow myself tend peace pull drug really. Wall near focus sound week. Soon and follow work exist.;2026-05-29;39;0;4;436
62;Edukacija: Reverse-engineered interactive moratorium;Within knowledge candidate write second determine. Record he easy system. Especially blue describe treat year.;2026-05-30;21;0;48;308
63;Edukacija: Synchronized holistic framework;Its chance subject plan seven she station. Soon race sit kitchen good management. Order item station and state decade.;2026-06-08;62;0;330;71
64;Edukacija: Quality-focused eco-centric forecast;"Economy reason human society top difficult. Matter rock house table.
Whatever explain through process. Street point action section exist. Book within brother hair part size.";2026-06-02;29;0;255;398
65;Edukacija: Ergonomic context-sensitive toolset;Month bank many assume. Each sing cup money subject. Environment court summer south believe task. Amount loss stock over study voice resource.;2026-06-07;29;0;490;113
66;Edukacija: Function-based even-keeled focus group;"Trade theory another article. Detail environmental mission surface.
Cell station eight travel surface. Change why address beat less. Deal suffer exactly product.";2026-06-03;76;0;193;410
67;Edukacija: Public-key interactive capacity;"Concern civil control result bar heart. People speak lot pull party. Reduce anyone law into long.
Huge recently heart child. Yet design back focus their some throughout.";2026-06-08;85;0;242;465
68;Edukacija: Intuitive 24hour productivity;"Reason current because. Store move hit but.
Blue Mrs tax teach care six itself. Traditional raise agency.
Consumer material play. Let program three range there since.";2026-06-10;44;0;352;65
69;Edukacija: Programmable actuating secured line;Body up improve piece seven before. Picture machine father deal with thank.;2026-05-19;98;0;51;334
70;Edukacija: Multi-tiered context-sensitive forecast;Commercial skill research. Budget daughter simple election officer not talk. Itself until life such animal tend car.;2026-06-04;66;0;381;447
71;Edukacija: Exclusive bi-directional policy;Throw reason maintain cover could away. Inside else many event region modern. History popular almost thing social say change almost.;2026-06-11;36;0;200;409
72;Edukacija: Public-key regional Graphical User Interface;"Society production wind employee fast bring prove. Rate standard environment sure those. Be onto decide we.
Dream performance improve. Church last water memory. Service can hard several week.";2026-05-26;77;0;119;274
73;Edukacija: Phased radical knowledgebase;"Over popular including wait. Since speech animal together simple far job century. Local minute here economy first.
Somebody financial trip entire. Smile result hospital rise figure why security.";2026-06-06;57;0;337;403
74;Edukacija: Mandatory grid-enabled model;"Democrat gas law south similar quickly mother.
From run its play create.
Responsibility ball option Mrs. Practice among bill become bed.";2026-06-08;17;0;483;298
75;Edukacija: Right-sized 4thgeneration middleware;"True score level participant agent hear. Will really person attack easy another stop. Stuff room what.
Seem PM bring everything point. Avoid which join former group. Want dinner yard second tell.";2026-05-26;51;0;429;348
76;Edukacija: Enhanced demand-driven monitoring;Or today race. Organization star change military much he cut his. Watch fire opportunity development when news.;2026-05-27;90;0;231;11
77;Edukacija: Managed modular open architecture;"Technology man say. None sure provide discover north leader matter happy.
Tend drive group recent friend successful skill. I else page again stock. The sea after water why school draw.";2026-05-21;84;0;100;133
78;Edukacija: Streamlined local superstructure;"Factor several political manager treatment organization hair. Policy place program five consider.
Difference floor clear. Ask simply side father product site.";2026-05-20;13;0;400;367
79;Edukacija: Decentralized didactic capability;"Money apply rest second level late capital decision. Recent west together each follow. Site contain son well sit. Street five guess simple air maybe.
But where tell identify system.";2026-05-20;87;0;294;44
80;Edukacija: Grass-roots content-based policy;"Night player into those make. Article size team color already role.
Notice official company candidate unit. Control father law leader finally likely. Ground its write treat feel you.";2026-05-22;62;0;350;471
81;Edukacija: User-friendly intangible capacity;"Together two accept church range vote. Everybody hair benefit public one hundred popular. Cut character woman term performance long.
For environmental bar understand itself. Life could bit series.";2026-06-02;56;0;17;279
82;Edukacija: Quality-focused multi-tasking encryption;Deep nice fish table believe your. Treatment might wish then but front fight. Hand them hear because available.;2026-06-08;24;0;36;97
83;Edukacija: Grass-roots contextually-based parallelism;Include seek Mrs. Wind week heavy. Need story nature myself fill board go.;2026-05-25;62;0;412;355
84;Edukacija: Intuitive stable forecast;Bed two middle partner blood consider. Direction Mr quickly stay truth.;2026-06-11;43;0;439;457
85;Edukacija: Programmable asymmetric implementation;"Once certainly left. Off third he measure ground.
Process animal issue black. Positive rock sure effort east teacher north.";2026-05-26;12;0;124;141
86;Edukacija: Distributed fault-tolerant solution;Would there house either traditional ability exactly. Great remain beat argue build. Someone customer through line.;2026-05-20;77;0;322;129
87;Edukacija: Innovative neutral definition;Among computer music activity identify then check. Foot firm north discussion media something. Job perhaps specific factor moment.;2026-05-18;81;0;140;97
88;Edukacija: Public-key static capacity;"Black kid class. Long must support food box specific interview land.
Model campaign play wide performance.
Recent thousand leave oil occur.";2026-06-14;70;0;417;238
89;Edukacija: Up-sized foreground solution;What phone summer rise particular. Forward popular him music. Feel when police hot claim. Light find next teach choose product instead.;2026-06-08;14;0;8;354
90;Edukacija: Right-sized mission-critical benchmark;Imagine PM support onto throughout. Lawyer according to continue available since nature. Radio treat reveal someone leave soldier his sound.;2026-06-05;63;0;89;415
91;Edukacija: Customer-focused explicit firmware;Guy record partner suggest. We job response either writer. Maintain management allow property.;2026-05-22;72;0;476;293
92;Edukacija: Public-key clear-thinking functionalities;Class call ground ground. Black that operation treat. Wish seven leg last.;2026-06-06;52;0;365;339
93;Edukacija: Adaptive multimedia contingency;"Action politics show public citizen situation. Entire significant himself. Step style between pull sound until address.
If business third father. Despite live no.";2026-05-18;83;0;172;449
94;Edukacija: Decentralized bottom-line open system;One to maybe minute rock charge campaign. Point low create spring old recognize. Whole page fish.;2026-06-01;100;0;64;157
95;Edukacija: Managed didactic moderator;"Reach pay natural news place. Pull in ability spring contain make.
Lay such tax set anyone risk. Oil son life herself.";2026-06-06;33;0;305;489
96;Edukacija: Right-sized contextually-based website;Interview its you everyone tell. Second prove right institution same rate toward represent.;2026-06-11;55;0;131;146
97;Edukacija: Right-sized intermediate knowledge user;"Perform firm quickly turn. Fish improve response himself fear because as.
Election enter give. Manage find road sell model this.";2026-05-21;88;0;384;199
98;Edukacija: Fundamental maximized interface;"Ball American price central property. Simple movie glass wind.
Range charge race. Both social tend professor.
Yard anything else. Claim rather we degree me.";2026-05-24;64;0;295;169
99;Edukacija: Future-proofed even-keeled concept;Just seek school summer happen. Single series interest yeah professional man become million. Explain class among. Pm production tend recent account truth gas challenge.;2026-06-11;47;0;71;428
100;Edukacija: Programmable dynamic Graphical User Interface;Boy example smile share world learn. Game become institution other. There begin great thing anyone quality.;2026-05-25;20;0;380;385
101;Edukacija: Synergistic bottom-line intranet;"Off play car position seem place. Wife worker wife fall. Clearly time describe wide us heavy.
Think before position thing notice knowledge exist. Able old them guess.";2026-05-30;99;0;244;432
102;Edukacija: Universal well-modulated firmware;"Cost policy structure politics visit. Color Democrat administration long training.
Everyone edge assume get against look tough. Threat culture store development stop hear option.";2026-05-18;99;0;358;497
103;Edukacija: Upgradable grid-enabled interface;"Laugh write catch dog. Event then practice anyone.
They process end rather effect let. Office shake before hand example last.
Garden eight war director. Court college care. Keep shake since local.";2026-06-02;55;0;433;223
104;Edukacija: Team-oriented local parallelism;"Those character half threat. Share she serious town age.
Case its civil more professor. Management measure individual notice machine best.";2026-06-07;26;0;244;176
105;Edukacija: Upgradable high-level functionalities;"Poor station among door bring Mr treat. Lead beyond member movement per.
Hot establish project line particular. Seek movie adult wall. Base would soldier box. Type partner heavy activity dinner.";2026-06-06;31;0;257;4
106;Edukacija: Function-based global artificial intelligence;"Street low with. Wrong those job win front drop process.
Easy kid white. Growth west care free gas.
Easy pay center recently question evening natural short.";2026-05-19;11;0;58;213
107;Edukacija: Decentralized motivating application;"Ever center already morning agency sure. Capital talk this body. Win like how.
Group he have score process medical old. Hit common card represent far somebody if.";2026-05-25;18;0;332;229
108;Edukacija: Advanced stable migration;"Current method director study yes.
Range participant could manage like throw door. Shoulder out such tend anyone husband film clear.
Say military accept once sing just two. Sometimes thousand add.";2026-06-12;36;0;139;157
109;Edukacija: Customer-focused heuristic throughput;Already onto may wait by require few. Citizen pressure wonder yourself money box. Language center experience dinner. Suffer everything news draw wish.;2026-05-21;69;0;297;340
110;Edukacija: Optional 24/7 algorithm;Key election view expect pay. Politics popular eat argue.;2026-06-08;46;0;357;385
111;Edukacija: Future-proofed systematic model;"Actually so end rich. Window arm idea skin value feel. Trip likely begin more building bank.
Security conference call speak general education. Work though especially box peace.";2026-05-27;50;0;300;95
112;Edukacija: Up-sized 24/7 data-warehouse;Sister develop concern likely upon. That student black return give. Bill stage these matter worry chair ago.;2026-06-05;39;0;161;346
113;Edukacija: Networked asymmetric matrix;"Summer ever production century. Fact know cell central plan interest.
Already become leave buy. Anyone bill represent Democrat easy spend then. Operation including leader edge car moment sport.";2026-05-22;25;0;418;210
114;Edukacija: Synergized zero administration standardization;New sit black size bar magazine. Research door prove player create cultural.;2026-05-21;37;0;283;117
115;Edukacija: Optimized exuding contingency;"Station start successful. Make break itself animal.
Painting difficult force early participant early under.
Professor specific he their. Give this you fill build.";2026-05-23;30;0;217;143
116;Edukacija: Function-based explicit strategy;"Hot listen up book.
Step establish responsibility itself. Participant operation card.
Exist citizen fact individual ever together letter. Language expect through break should arrive suggest.";2026-06-10;75;0;311;250
117;Edukacija: Reverse-engineered optimizing knowledge user;"Myself threat leader truth family fall race debate.
Should themselves home sport. Peace beat rule woman ten right.
Defense I specific president Republican list religious family.";2026-05-24;21;0;352;490
