PK_ID_meduodnosa;POPULACIJE_ID_populacije1;POPULACIJE_ID_populacije2;INTERAKCIJE_ID_interakcije
1;30135;23915;3
2;49353;35232;4
3;25971;38058;3
4;27291;2982;5
5;15088;45461;5
6;47876;37571;4
7;37029;7723;1
8;37061;6587;3
9;35988;29056;4
10;17050;38345;1
11;16792;35434;2
12;23213;27268;2
13;15745;10826;6
14;3863;12821;5
15;12352;37180;2
16;19814;29784;3
17;25670;36426;1
18;15880;33889;3
19;27193;29863;4
20;37258;2532;5
21;40958;37284;6
22;34168;3239;5
23;23559;29258;6
24;38459;38518;2
25;45683;49908;1
26;17602;35570;1
27;28462;26010;3
28;18898;42574;4
29;14713;43937;4
30;32304;31761;5
31;7366;3812;6
32;25831;32208;6
33;5349;39030;2
34;2639;26984;5
35;31406;47501;4
36;14642;39359;3
37;13727;11340;4
38;35656;2373;1
39;1377;49147;4
40;42681;489;2
41;11899;3211;3
42;18674;5406;1
43;35422;7435;5
44;11473;8838;5
45;1597;30809;2
46;29402;48298;3
47;7470;34847;6
48;6767;24889;3
49;17144;7781;6
50;43785;37525;4
51;9971;20141;5
52;15191;23117;2
53;44273;37825;6
54;23359;30879;2
55;41082;47260;4
56;17597;32089;1
57;37106;36433;1
58;15738;17640;2
59;25131;11874;4
60;43063;45813;4
61;39437;11091;5
62;18600;19141;6
63;15525;19003;2
64;41890;17793;4
65;40950;15350;3
66;39643;43234;2
67;19698;21137;1
68;36333;7559;2
69;6842;6022;4
70;5082;39405;1
71;19919;2845;4
72;25363;26352;4
73;9307;18001;6
74;20561;16126;1
75;1126;40471;6
76;9635;6707;3
77;43818;35062;4
78;40493;39577;3
79;26925;45180;6
80;17172;26600;2
81;25341;22317;4
82;39616;46007;6
83;39092;24967;2
84;29085;34116;4
85;2403;13983;2
86;11082;15759;6
87;29750;3091;6
88;18508;10188;6
89;41407;13956;5
90;45280;34499;6
91;36777;31829;3
92;23880;1171;2
93;30377;19636;6
94;39945;42338;4
95;47088;22208;2
96;40826;27833;6
97;31535;5003;6
98;29564;23820;2
99;8930;16248;3
100;13410;6540;3
101;39026;16967;4
102;37907;38562;1
103;46433;7448;1
104;47613;1664;4
105;1090;14291;5
106;36692;23619;2
107;44363;46778;4
108;45494;18902;4
109;45927;9726;4
110;8913;42061;6
111;34988;664;3
112;4543;28897;6
113;35127;26431;4
114;28102;1709;1
115;36517;17205;1
116;32025;8322;5
117;17601;49137;2
118;15364;42924;5
119;16447;33055;6
120;11738;4392;4
121;39957;20704;2
122;4393;29249;5
123;18310;10773;6
124;38727;35874;1
125;48696;299;6
126;39291;29007;6
127;33449;9855;4
128;24179;37649;6
129;8473;30226;4
130;29626;48344;4
131;27560;46356;6
132;24126;18581;6
133;3516;37944;2
134;40386;49375;2
135;37650;34881;6
136;44762;33660;4
137;44791;21163;5
138;49329;18484;1
139;36047;26451;3
140;4053;8438;1
141;30076;18617;2
142;6119;16449;1
143;27624;22875;6
144;29831;8126;3
145;40670;15534;2
146;11871;43543;3
147;47763;6140;4
148;12692;7280;2
149;25536;8537;4
150;46270;48132;6
151;16316;37048;4
152;22951;16986;2
153;48189;44305;5
154;38602;43690;2
155;43207;35497;5
156;18260;2648;4
157;570;46313;5
158;27152;6876;6
159;20396;43902;1
160;28989;26117;1
161;31648;33727;1
162;30135;36496;6
163;13281;24623;4
164;3401;19665;1
165;36511;14629;4
166;16250;4689;5
167;14976;19630;4
168;20108;7618;6
169;15266;31775;6
170;44108;23519;5
171;36716;30559;6
172;20322;23110;6
173;24032;30408;4
174;33315;40462;1
175;5382;33503;4
176;3232;33333;5
177;47934;7595;3
178;35901;25414;2
179;45790;28079;2
180;693;112;5
181;36548;46070;1
182;36198;32468;1
183;11918;9491;1
184;46403;37880;1
185;31424;37420;2
186;26145;32672;2
187;29054;36960;2
188;552;44411;5
189;46519;34963;1
190;38057;13177;3
191;41462;21289;4
192;17749;15934;6
193;44404;35008;4
194;36068;20347;6
195;24883;3620;2
196;18766;46684;4
197;45094;44419;3
198;27728;10488;2
199;19252;2792;3
200;22988;14811;6
201;32922;9879;5
202;48655;45229;1
203;10390;24826;4
204;31610;18370;4
205;21048;34512;3
206;29895;10148;5
207;4159;39627;6
208;1228;26018;3
209;601;14039;5
210;9300;7073;1
211;3762;2247;2
212;8357;26157;6
213;23881;20175;5
214;27505;44689;5
215;29043;32378;2
216;25107;47278;5
217;37864;23008;5
218;33485;27153;4
219;28653;22305;2
220;13679;13183;3
221;6105;11302;6
222;14835;13243;6
223;24285;25235;4
224;17179;18068;6
225;41133;37531;2
226;16935;10320;1
227;29288;39923;5
228;32495;6091;5
229;46503;27404;1
230;21886;34094;3
231;5793;42122;1
232;40270;12449;2
233;43399;22629;3
234;5737;3818;3
235;20488;6660;2
236;24645;2840;6
237;36406;8408;1
238;47727;25698;6
239;13144;31321;2
240;48325;14808;2
241;42035;18716;2
242;8836;19918;4
243;32992;40279;2
244;38745;24234;4
245;455;29677;3
246;27108;41561;2
247;17413;49449;2
248;9285;23261;6
249;34471;4920;4
250;11940;7893;5
251;46081;9716;6
252;13723;10565;4
253;4976;2280;1
254;32882;33635;4
255;46887;48803;6
256;2963;15518;2
257;15416;3393;5
258;43824;18114;3
259;38955;21818;3
260;10330;11990;2
261;16322;8047;1
262;27534;1742;5
263;5113;39600;3
264;21187;37429;4
265;17890;46756;5
266;17;35058;2
267;41374;31044;6
268;40664;36004;3
269;38896;9852;5
270;3634;10871;6
271;25772;36718;5
272;48617;22130;6
273;41380;9742;2
274;5441;2132;4
275;24667;26576;2
276;13411;30661;1
277;11674;40681;6
278;36637;24857;1
279;48574;40681;4
280;15476;16969;4
281;2986;38443;6
282;13051;36921;2
283;49962;31009;3
284;33058;14329;1
285;727;28856;3
286;47831;2992;5
287;40596;37175;4
288;9296;40491;6
289;40990;49054;1
290;832;17996;5
291;15712;2344;3
292;32424;5307;4
293;3824;1198;6
294;36440;10245;6
