ID_populacije;TAKSONOMIJE_C_ID_taksonomije;TAKSONOMIJA_SELF_ID_taksonomije_self;STANISTA_ID_stanista
1;3013;3013;3186
2;2516;2516;4711
3;2315;2315;953
4;3276;3276;2726
5;1627;1627;823
6;2127;2127;1965
7;3486;3486;2100
8;6230;6230;3089
9;5706;5706;4752
10;3940;3940;222
11;6100;6100;1087
12;5883;5883;677
13;5582;5582;2338
14;5435;5435;4797
15;6129;6129;2102
16;4184;4184;2225
17;6051;6051;2278
18;6132;6132;3598
19;2421;2421;2882
20;3682;3682;3820
21;2469;2469;452
22;3634;3634;4010
23;3321;3321;2512
24;2296;2296;883
25;4936;4936;2956
26;4642;4642;1892
27;5929;5929;2107
28;6075;6075;16
29;3421;3421;3148
30;3935;3935;827
31;3590;3590;2467
32;3386;3386;2500
33;4713;4713;2975
34;5241;5241;2536
35;5501;5501;559
36;3663;3663;2607
37;2579;2579;2598
38;2370;2370;4192
39;5452;5452;4376
40;4494;4494;2442
41;4372;4372;2606
42;1408;1408;4590
43;3146;3146;204
44;3316;3316;1952
45;1941;1941;3897
46;5839;5839;2407
47;2539;2539;627
48;3214;3214;4883
49;2070;2070;1834
50;4846;4846;4992
51;5357;5357;2788
52;3403;3403;4317
53;3060;3060;1759
54;5263;5263;3973
55;5230;5230;1086
56;4883;4883;1000
57;4233;4233;2060
58;2509;2509;1338
59;3376;3376;947
60;2612;2612;2600
61;1280;1280;1668
62;5585;5585;1725
63;3521;3521;803
64;2792;2792;2360
65;5157;5157;1126
66;2746;2746;1881
67;4997;4997;1198
68;1624;1624;3642
69;3705;3705;564
70;6176;6176;3957
71;4098;4098;1774
72;5179;5179;404
73;1693;1693;3520
74;3203;3203;1321
75;3190;3190;4881
76;6217;6217;4564
77;5818;5818;4011
78;5003;5003;1719
79;3120;3120;3055
80;2572;2572;795
81;1273;1273;4350
82;4065;4065;4338
83;2817;2817;3769
84;4263;4263;2920
85;5741;5741;1469
86;4668;4668;1855
87;2571;2571;718
88;5588;5588;4945
89;3571;3571;3028
90;2087;2087;500
91;5829;5829;4288
92;4107;4107;4157
93;5887;5887;4739
94;5494;5494;765
95;5591;5591;1004
96;2084;2084;4929
97;3482;3482;1486
98;5866;5866;984
99;5338;5338;4590
100;3194;3194;2338
101;2373;2373;17
102;4640;4640;2091
103;2822;2822;1643
104;6086;6086;2615
105;4048;4048;1541
106;3796;3796;1602
107;2804;2804;2325
108;5886;5886;3718
109;2077;2077;4881
110;4911;4911;1046
111;1371;1371;2216
112;1681;1681;4630
113;3035;3035;1518
114;3652;3652;1216
115;3537;3537;1606
116;1529;1529;201
117;1931;1931;3765
118;3110;3110;915
119;4349;4349;1579
120;3082;3082;1096
121;3671;3671;1863
122;1299;1299;4226
123;5347;5347;1399
124;3772;3772;2085
125;5201;5201;4119
126;3226;3226;4693
127;1500;1500;3981
128;2241;2241;1109
129;1952;1952;1369
130;4264;4264;4062
131;5689;5689;4818
132;4804;4804;4917
133;1907;1907;409
134;2468;2468;2485
135;2181;2181;4661
136;5389;5389;1468
137;5124;5124;1334
138;3569;3569;2383
139;4216;4216;1446
140;1573;1573;3610
141;4412;4412;4674
142;6043;6043;632
143;4181;4181;1175
144;5695;5695;1725
145;1966;1966;738
146;5900;5900;3798
147;5306;5306;4152
148;5988;5988;2924
149;2142;2142;3492
150;4591;4591;2936
151;1729;1729;874
152;5649;5649;396
153;1699;1699;3051
154;3529;3529;2432
155;1438;1438;1180
156;5091;5091;3585
157;4461;4461;485
158;2227;2227;1036
159;3088;3088;798
160;4454;4454;1128
161;4049;4049;3862
162;4281;4281;755
163;1468;1468;276
164;1426;1426;1767
165;4429;4429;3367
166;5670;5670;2858
167;5130;5130;2558
168;3227;3227;4798
169;5157;5157;1940
170;5762;5762;2213
171;4962;4962;747
172;5747;5747;2208
173;4267;4267;4120
174;1878;1878;3182
175;3126;3126;389
176;2712;2712;878
177;2693;2693;4852
178;1905;1905;4391
179;2570;2570;1573
180;4602;4602;1587
181;5155;5155;1099
182;3973;3973;928
183;2032;2032;1142
184;6148;6148;4271
185;1524;1524;1685
186;1976;1976;432
187;2531;2531;3119
188;2520;2520;1905
189;4877;4877;202
190;4241;4241;304
191;4410;4410;3723
192;3683;3683;4563
193;2696;2696;2871
194;2579;2579;1249
195;5984;5984;1309
196;3938;3938;2305
197;4490;4490;2758
198;3550;3550;4050
199;4348;4348;1824
200;1897;1897;3544
201;6198;6198;756
202;3700;3700;3036
203;4167;4167;4876
204;1706;1706;1691
205;4420;4420;2772
206;3113;3113;2909
207;3579;3579;1299
208;2939;2939;3613
209;2572;2572;2095
210;4847;4847;3475
211;4969;4969;3146
212;2297;2297;1372
213;4621;4621;3948
214;4461;4461;606
215;5306;5306;2492
216;4874;4874;4818
217;1365;1365;2274
218;4181;4181;2748
219;2628;2628;1170
220;3678;3678;1399
221;1622;1622;2950
222;6161;6161;3497
223;3403;3403;1207
224;4268;4268;2368
225;6218;6218;3686
226;5629;5629;431
227;4343;4343;2227
228;3147;3147;3951
229;1948;1948;3262
230;1595;1595;1549
231;3644;3644;4191
232;5247;5247;1820
233;1834;1834;890
234;4775;4775;381
235;2274;2274;2851
236;4381;4381;2812
237;3189;3189;4638
238;6207;6207;3036
239;2784;2784;754
240;2053;2053;2605
241;3561;3561;1504
242;3357;3357;40
243;2033;2033;2846
244;1455;1455;2140
245;3018;3018;3812
246;1766;1766;4299
247;4674;4674;4490
248;1487;1487;4352
249;5460;5460;1974
250;4040;4040;4320
251;4292;4292;2886
252;5385;5385;1839
253;4767;4767;2137
254;3895;3895;2154
255;5870;5870;3673
256;4324;4324;3678
257;5973;5973;4630
258;5225;5225;2130
259;2357;2357;2863
260;3663;3663;1328
261;6026;6026;474
262;3752;3752;1745
263;4418;4418;4344
264;2640;2640;3912
265;3943;3943;3307
266;5487;5487;2096
267;6061;6061;4053
268;5593;5593;2686
269;1773;1773;3712
270;5548;5548;3532
271;5210;5210;1486
272;3868;3868;1906
273;1732;1732;4191
274;2144;2144;2733
275;5609;5609;47
276;5718;5718;3311
277;4864;4864;4280
278;6145;6145;2143
279;4324;4324;888
280;2148;2148;4936
281;3090;3090;1301
282;3589;3589;3382
