ID_stanista;naziv;opis;povrsina
1;Livada Hannah Overpass;Look night various return explain of.;419
2;Jezero Huang Locks;West source fact explain research get.;4022
3;Močvara Douglas Summit;Degree still even no even body scientist.;2296
4;Livada John Skyway;Difficult do beyond form line race case.;8945
5;Livada Richard Wells;Local current white fly position traditional become.;9684
6;Obala Amanda Stream;Tree company think.;530
7;Šuma Sarah Camp;Small control see the face also.;1545
8;Močvara Bradley Coves;Expect writer myself management voice surface.;3821
9;Krš Nelson Valleys;Former room possible responsibility.;9873
10;Šuma Jill Turnpike;Nothing serious compare task today.;9205
11;Močvara Robertson Corners;Protect continue cell food easy end.;8938
12;Obala Sean Grove;Few reveal activity president realize artist.;3621
13;More Steven Estate;Rather type thousand show real police.;9664
14;Jezero Richardson Forges;Whatever long lawyer writer health.;116
15;Planina Todd Unions;Seven quite other skin moment.;6934
16;Rijeka Miller Port;Article natural measure of.;4562
17;Planina Franklin Walk;Kind quite response major together knowledge argue.;3537
18;Rijeka William Motorway;Around left southern rich how staff second.;1684
19;Livada Brandon Key;Must art thus worry.;6234
20;Livada Johnson Lodge;Shoulder she within position.;5891
21;Rijeka Brooks Light;Thank trade heart radio product much president.;9901
22;Jezero Wilson Plain;More road development about age fear.;721
23;More Patel View;Easy get every visit right.;8795
24;Livada Antonio Shore;Past view threat drive attack order.;6211
25;Livada Harper Squares;Each analysis keep.;9054
26;Jezero Karen Trail;Cell year doctor trouble.;5935
27;Močvara Ray Trail;Down then worry miss including every.;1149
28;Šuma Connie Meadow;Many win walk provide skill five indicate.;3743
29;Jezero Kevin Ferry;List support feeling remain south trip none.;1317
30;Močvara Grant Dale;Drug data position two suggest begin.;1664
31;Obala Brett Lane;Owner them could seven right next look thank.;4564
32;More Turner Bridge;View while bring yourself look.;5987
33;Planina Heather Squares;However dream focus executive letter.;6075
34;Rijeka Parker Lake;Third letter sort reveal seven floor data.;3442
35;Jezero Gutierrez Port;Scientist administration network once result.;1179
36;Planina Hernandez Isle;Here street material pressure range.;8761
37;Močvara Hines Overpass;Leave run goal cause national contain threat.;2687
38;More Alexandria Villages;War property share include.;6226
39;Jezero Carlos Drive;Despite lay art.;9135
40;Močvara Hopkins Brook;Mother in admit.;5323
41;Šuma Nichols Heights;Maybe recently issue.;3762
42;Šuma Daniel Court;Chance court money spring environment however health.;5178
43;Obala Stevens Gardens;Feel stock ball yard practice.;4396
44;Livada Clayton Light;Need argue act commercial matter its.;3466
45;Rijeka Knight Walks;Thus try discover top.;3493
46;More Nelson Club;Tonight nor allow up fire.;6492
47;More Brenda Terrace;Up federal nor note support quality.;2350
48;Jezero Reyes Streets;So ready bad seat.;2297
49;Močvara Brown Mews;Stuff future shoulder western however.;9207
50;Krš Johnson Groves;Make green wait it quickly produce beat.;4314
51;Obala Yates Station;Bank child Republican plant.;9570
52;Obala Stewart Coves;Accept final growth especially.;5940
53;Močvara Christopher Meadows;News mention billion bed never others six.;2276
54;Krš Smith Loop;Single right nice yeah drug minute.;8095
55;Livada Jackson Grove;Environmental certainly cold every feel.;781
56;Livada Michael Gateway;Many pattern leader career according how success here.;2514
57;Planina Alexander Meadows;Carry fly water cut fire who why fact.;6926
