ID_označavanja;STUPNJEVI_UGROZENOSTI_ID_stupnja;POPULACIJE_ID_populacije;datum
1;4;1;2014-06-05
2;10;1;2014-08-16
3;3;2;2011-03-11
4;10;2;2015-07-09
5;1;2;2010-02-19
6;9;3;2021-07-31
7;10;4;2022-07-10
8;3;4;2014-12-18
9;3;4;2022-11-27
10;12;5;2012-01-19
11;13;5;2023-12-14
12;12;6;2017-06-25
13;6;7;2017-01-27
14;4;7;2011-10-21
15;2;8;2019-05-22
16;4;9;2023-03-11
17;12;10;2015-06-01
18;5;11;2015-04-14
19;13;11;2013-11-12
20;10;12;2010-02-15
21;12;12;2021-06-07
22;9;13;2017-03-16
23;13;14;2019-09-29
24;13;15;2020-02-11
25;13;15;2023-10-02
26;3;15;2012-02-05
27;4;16;2013-03-03
28;1;17;2021-10-03
29;7;18;2018-03-27
30;6;19;2021-08-14
31;11;20;2018-11-25
32;5;20;2014-05-07
33;10;21;2014-12-11
34;11;21;2019-12-07
35;2;21;2016-06-09
36;10;22;2018-04-13
37;4;22;2011-08-06
38;4;22;2012-04-01
39;4;23;2023-12-20
40;7;24;2022-07-07
41;9;25;2022-02-07
42;14;26;2021-10-15
43;14;27;2023-12-03
44;14;28;2022-10-01
45;8;29;2023-08-01
46;13;30;2020-05-09
47;13;31;2018-07-30
48;10;31;2014-05-14
49;2;32;2010-08-27
50;11;32;2022-11-14
51;14;33;2011-06-09
52;3;34;2010-02-28
53;1;34;2016-01-19
54;1;35;2021-08-07
55;6;36;2023-04-01
56;11;37;2016-11-18
57;10;38;2010-12-22
58;8;38;2015-09-25
59;10;38;2019-06-21
60;4;39;2020-07-04
61;7;40;2022-02-28
62;4;41;2020-02-13
63;8;42;2013-12-27
64;9;43;2011-05-13
65;12;44;2012-08-25
66;2;45;2022-05-05
67;9;46;2021-04-15
68;11;46;2014-03-02
69;1;47;2017-04-03
70;4;48;2022-05-30
71;11;49;2023-07-21
72;14;50;2020-03-05
73;1;51;2023-02-10
74;1;51;2015-07-09
75;6;52;2022-02-26
76;8;53;2022-02-02
77;9;54;2010-06-05
78;2;55;2010-09-20
79;5;55;2011-12-29
80;1;56;2011-04-30
81;6;57;2020-03-30
82;8;57;2019-03-12
83;6;58;2021-05-26
84;7;59;2019-05-16
85;14;60;2020-12-24
86;7;60;2014-08-14
87;6;61;2022-05-02
88;10;61;2022-04-21
89;2;61;2021-07-02
90;6;62;2021-10-28
91;12;63;2019-05-15
92;8;64;2015-06-01
93;2;65;2016-05-18
94;9;66;2018-08-07
95;7;67;2011-03-08
96;7;68;2014-06-03
97;10;68;2010-10-15
98;4;68;2014-06-08
99;2;69;2022-08-09
100;5;70;2018-03-02
101;5;71;2022-05-19
102;7;72;2014-10-09
103;1;73;2021-07-31
104;11;73;2021-02-26
105;7;74;2014-01-14
106;8;75;2022-12-01
107;6;75;2020-12-25
108;6;76;2017-07-05
109;14;77;2016-09-04
110;8;78;2012-09-01
111;8;78;2012-06-20
112;14;79;2014-05-05
113;8;80;2022-05-08
114;12;80;2022-12-07
115;2;81;2022-07-26
116;4;82;2022-06-30
117;14;82;2022-04-14
118;11;83;2010-07-17
119;1;84;2010-06-14
120;9;85;2019-03-17
121;14;85;2017-04-28
122;5;86;2017-10-23
123;5;87;2019-04-02
124;5;87;2015-04-29
125;8;87;2012-10-25
126;6;88;2012-08-06
127;10;88;2023-05-06
128;14;88;2021-10-22
129;5;89;2015-04-20
130;4;90;2019-09-03
131;8;91;2012-04-02
132;8;91;2019-03-12
133;12;91;2019-04-15
134;9;92;2012-06-06
135;9;92;2013-07-14
136;8;92;2018-01-14
137;1;93;2023-03-24
138;11;94;2023-11-05
139;10;95;2018-09-27
140;5;96;2019-11-14
141;1;96;2022-12-01
142;8;97;2013-04-26
143;11;98;2022-05-21
144;9;98;2014-07-20
145;11;99;2011-03-01
146;4;100;2019-09-02
147;8;101;2022-10-13
148;1;101;2020-09-09
149;14;102;2015-08-16
150;10;102;2018-06-12
151;4;102;2015-03-28
152;4;103;2017-11-18
153;9;104;2022-12-08
154;12;104;2010-07-27
155;2;105;2019-10-02
156;2;106;2010-10-01
157;3;107;2020-04-11
158;7;108;2014-03-16
159;6;108;2015-09-04
160;9;109;2021-09-23
161;10;110;2015-08-15
162;4;110;2010-06-29
163;12;111;2018-03-09
164;5;112;2011-09-15
165;8;112;2010-10-06
166;5;112;2015-06-12
167;6;113;2021-02-17
168;1;113;2020-06-29
169;8;114;2019-07-21
170;4;115;2017-05-08
171;1;116;2013-08-20
172;12;117;2013-09-29
173;4;117;2023-09-10
174;9;118;2023-08-28
175;6;118;2013-02-06
176;8;119;2012-11-23
177;11;120;2018-02-25
178;9;121;2017-02-25
179;2;121;2014-05-03
180;6;121;2010-07-12
181;6;122;2015-09-12
182;9;122;2013-03-08
183;8;123;2016-01-19
184;7;124;2017-06-09
185;10;125;2021-03-03
186;2;126;2019-02-27
187;13;127;2012-04-20
188;12;128;2010-10-11
189;11;128;2019-08-25
190;5;128;2010-02-17
191;14;129;2019-06-06
192;6;130;2010-09-12
193;7;131;2017-05-29
194;10;132;2021-12-10
195;6;132;2018-11-20
196;13;133;2020-07-28
197;10;134;2022-10-14
198;12;134;2012-03-27
199;1;134;2018-07-31
200;2;135;2021-04-10
201;10;136;2011-12-30
202;6;136;2017-12-09
203;11;137;2017-05-18
204;3;138;2023-06-02
205;6;139;2018-02-20
206;13;139;2022-01-16
207;1;140;2011-05-07
208;7;141;2013-09-03
209;3;141;2022-11-11
210;11;142;2022-03-06
211;13;143;2022-12-11
212;2;144;2022-08-21
213;11;145;2022-12-09
214;14;146;2016-03-17
215;1;147;2023-10-13
216;12;148;2011-07-20
217;2;149;2014-06-17
218;2;149;2014-03-03
219;6;150;2020-08-01
220;1;150;2012-08-04
221;4;151;2011-09-29
222;6;151;2011-12-31
223;4;151;2021-04-17
224;4;152;2018-10-20
225;2;152;2011-09-13
226;12;153;2018-04-28
227;2;154;2014-05-28
228;7;154;2013-09-02
229;14;155;2017-12-01
230;4;156;2022-11-27
231;7;156;2018-12-23
232;14;156;2016-02-24
233;8;157;2010-04-05
234;14;158;2022-05-23
235;6;159;2023-06-02
236;7;160;2022-04-18
237;5;161;2022-01-21
238;5;162;2015-10-13
239;2;163;2021-11-11
240;5;163;2019-07-07
241;1;163;2023-11-08
242;1;164;2013-06-23
243;14;164;2020-04-26
244;1;164;2012-10-20
245;13;165;2016-07-23
246;4;165;2012-01-10
247;8;165;2017-09-14
248;8;166;2016-11-04
249;13;167;2019-05-26
250;12;168;2016-04-07
251;6;169;2021-06-17
252;6;169;2017-10-27
253;14;170;2020-08-20
254;11;171;2015-06-30
255;4;171;2019-03-20
256;7;172;2022-04-05
257;9;173;2018-10-04
258;8;174;2019-02-05
259;4;175;2016-01-01
260;7;176;2017-04-07
261;9;176;2021-01-15
262;2;177;2023-08-29
263;1;178;2020-10-11
264;5;178;2021-10-17
265;5;178;2021-05-07
266;12;179;2019-10-10
267;5;180;2019-07-22
268;5;181;2010-12-03
269;3;182;2012-04-07
270;8;183;2021-01-09
271;7;184;2020-11-04
272;1;185;2018-05-08
273;10;186;2021-03-23
274;11;187;2020-05-07
275;8;187;2022-01-07
276;6;187;2015-10-21
277;1;188;2018-04-23
278;6;189;2014-03-23
279;7;190;2018-05-29
280;12;191;2016-07-15
281;7;192;2016-06-11
282;6;192;2021-12-05
283;13;192;2016-02-16
284;12;193;2020-07-16
285;1;194;2020-12-08
286;8;195;2018-08-10
287;1;195;2015-10-08
288;6;195;2013-08-21
289;6;196;2019-04-16
290;6;197;2021-08-03
291;2;198;2014-01-15
292;1;199;2015-05-06
293;8;200;2018-11-06
294;11;201;2021-12-23
295;5;202;2012-05-10
296;9;203;2010-06-10
297;2;204;2013-03-26
298;2;205;2016-11-18
299;7;206;2023-05-02
300;5;207;2016-02-08
301;11;207;2021-10-22
302;2;208;2013-08-02
303;3;209;2018-06-05
304;14;210;2020-05-16
305;9;210;2022-08-31
306;13;210;2013-11-11
307;14;211;2012-07-13
308;9;211;2020-08-16
309;4;211;2011-07-18
310;12;212;2022-06-09
311;11;213;2011-05-22
312;9;214;2021-01-31
313;11;215;2023-11-30
314;13;216;2023-07-04
315;7;217;2017-10-26
316;7;217;2014-06-13
317;10;218;2019-04-24
318;6;219;2013-02-18
319;3;220;2015-07-17
320;1;220;2022-11-04
321;6;221;2010-07-17
322;11;222;2013-09-17
323;6;223;2010-06-01
324;13;223;2012-11-24
325;13;223;2022-06-17
326;4;224;2023-06-15
327;4;224;2022-08-22
328;10;225;2018-11-12
329;10;226;2013-05-30
330;1;227;2019-01-19
331;8;228;2021-12-06
332;1;228;2017-02-08
333;12;229;2019-03-19
334;8;230;2023-10-26
335;2;231;2019-08-30
336;10;231;2023-04-20
337;11;231;2018-04-11
338;7;232;2010-05-13
339;12;233;2022-08-25
340;6;233;2014-03-12
341;12;233;2012-09-16
342;10;234;2014-04-27
343;13;235;2013-03-07
344;3;236;2010-04-25
345;13;236;2022-02-16
346;7;237;2023-08-02
347;6;237;2022-02-12
348;6;238;2021-06-19
349;12;239;2014-09-30
350;8;240;2019-10-26
351;12;240;2021-01-24
352;9;241;2022-01-30
353;5;242;2013-02-23
354;14;243;2012-06-08
355;13;244;2021-05-16
356;13;245;2021-01-19
357;5;245;2011-11-07
358;4;245;2013-08-27
359;9;246;2016-03-03
360;7;247;2022-05-30
361;11;248;2011-02-14
362;8;249;2019-07-24
363;4;250;2023-08-26
364;4;251;2021-07-20
365;11;252;2017-10-10
366;12;253;2017-03-12
367;3;254;2013-06-30
368;11;254;2010-05-24
369;10;255;2022-07-11
370;14;256;2021-01-03
371;12;257;2020-08-20
372;9;257;2021-10-12
373;11;258;2010-03-11
374;3;259;2020-09-03
375;14;260;2018-04-23
376;13;261;2014-09-28
377;2;261;2010-02-24
378;13;262;2022-01-10
379;5;262;2022-08-21
380;14;263;2011-12-14
381;10;263;2015-02-18
382;6;264;2015-07-16
383;4;265;2013-09-28
384;1;266;2010-11-26
385;13;266;2014-08-20
386;5;266;2017-05-05
387;5;267;2014-07-05
388;1;268;2020-08-21
389;2;268;2012-12-29
390;9;269;2023-04-28
391;14;270;2017-08-31
392;8;271;2023-06-08
393;4;271;2022-03-28
394;1;272;2018-06-02
395;13;273;2020-11-22
396;8;273;2013-09-28
397;14;274;2014-11-03
398;2;275;2019-11-01
399;8;276;2018-03-10
400;5;276;2014-09-20
401;5;276;2010-08-30
402;11;277;2014-03-04
403;1;278;2018-07-19
404;9;279;2023-11-09
405;11;280;2013-07-19
406;2;281;2023-11-29
407;9;282;2018-12-27
408;13;283;2023-10-06
409;9;284;2011-05-20
410;6;285;2016-10-25
411;9;286;2015-12-08
412;12;286;2021-02-07
413;14;287;2013-03-30
414;8;288;2017-04-04
415;9;289;2017-11-14
416;7;290;2022-09-18
417;12;291;2014-05-08
418;3;292;2022-03-01
419;4;292;2018-08-21
420;6;293;2013-11-24
421;9;294;2018-09-07
422;14;295;2022-05-23
423;10;295;2023-01-29
424;12;296;2022-12-17
