id;label;type
1;Animalia;1
2;Plantae;1
3;Fungi;1
4;Chordata;2
5;Arthropoda;2
6;Mollusca;2
7;Magnoliophyta;2
8;Coniferophyta;2
9;Ascomycota;2
10;Basidiomycota;2
11;Mammalia;3
12;Aves;3
13;Reptilia;3
14;Insecta;3
15;Arachnida;3
16;Magnoliopsida;3
17;Liliopsida;3
18;Red_18;4
19;Red_19;4
20;Red_20;4
21;Red_21;4
22;Red_22;4
23;Red_23;4
24;Red_24;4
25;Red_25;4
26;Red_26;4
27;Red_27;4
28;Red_28;4
29;Red_29;4
30;Red_30;4
31;Red_31;4
32;Red_32;4
33;Red_33;4
34;Red_34;4
35;Red_35;4
36;Red_36;4
37;Red_37;4
38;Red_38;4
39;Red_39;4
40;Red_40;4
41;Red_41;4
42;Red_42;4
43;Red_43;4
44;Red_44;4
45;Red_45;4
46;Red_46;4
47;Red_47;4
48;Red_48;4
49;Red_49;4
50;Red_50;4
51;Red_51;4
52;Red_52;4
53;Red_53;4
54;Red_54;4
55;Red_55;4
56;Red_56;4
57;Red_57;4
58;Red_58;4
59;Red_59;4
60;Red_60;4
61;Red_61;4
62;Red_62;4
63;Red_63;4
64;Red_64;4
65;Red_65;4
66;Red_66;4
67;Red_67;4
68;Porodica_68;5
69;Porodica_69;5
70;Porodica_70;5
71;Porodica_71;5
72;Porodica_72;5
73;Porodica_73;5
74;Porodica_74;5
75;Porodica_75;5
76;Porodica_76;5
77;Porodica_77;5
78;Porodica_78;5
79;Porodica_79;5
80;Porodica_80;5
81;Porodica_81;5
82;Porodica_82;5
83;Porodica_83;5
84;Porodica_84;5
85;Porodica_85;5
86;Porodica_86;5
87;Porodica_87;5
88;Porodica_88;5
89;Porodica_89;5
90;Porodica_90;5
91;Porodica_91;5
92;Porodica_92;5
93;Porodica_93;5
94;Porodica_94;5
95;Porodica_95;5
96;Porodica_96;5
97;Porodica_97;5
98;Porodica_98;5
99;Porodica_99;5
100;Porodica_100;5
101;Porodica_101;5
102;Porodica_102;5
103;Porodica_103;5
104;Porodica_104;5
105;Porodica_105;5
106;Porodica_106;5
107;Porodica_107;5
108;Porodica_108;5
109;Porodica_109;5
110;Porodica_110;5
111;Porodica_111;5
112;Porodica_112;5
113;Porodica_113;5
114;Porodica_114;5
115;Porodica_115;5
116;Porodica_116;5
117;Porodica_117;5
118;Porodica_118;5
119;Porodica_119;5
120;Porodica_120;5
121;Porodica_121;5
122;Porodica_122;5
123;Porodica_123;5
124;Porodica_124;5
125;Porodica_125;5
126;Porodica_126;5
127;Porodica_127;5
128;Porodica_128;5
129;Porodica_129;5
130;Porodica_130;5
131;Porodica_131;5
132;Porodica_132;5
133;Porodica_133;5
134;Porodica_134;5
135;Porodica_135;5
136;Porodica_136;5
137;Porodica_137;5
138;Porodica_138;5
139;Porodica_139;5
140;Porodica_140;5
141;Porodica_141;5
142;Porodica_142;5
143;Porodica_143;5
144;Porodica_144;5
145;Porodica_145;5
146;Porodica_146;5
147;Porodica_147;5
148;Porodica_148;5
149;Porodica_149;5
150;Porodica_150;5
151;Porodica_151;5
152;Porodica_152;5
153;Porodica_153;5
154;Porodica_154;5
155;Porodica_155;5
156;Porodica_156;5
157;Porodica_157;5
158;Porodica_158;5
159;Porodica_159;5
160;Porodica_160;5
161;Porodica_161;5
162;Porodica_162;5
163;Porodica_163;5
164;Porodica_164;5
165;Porodica_165;5
166;Porodica_166;5
167;Porodica_167;5
168;Porodica_168;5
169;Porodica_169;5
170;Porodica_170;5
171;Porodica_171;5
172;Porodica_172;5
173;Porodica_173;5
174;Porodica_174;5
175;Porodica_175;5
176;Porodica_176;5
177;Porodica_177;5
178;Porodica_178;5
179;Porodica_179;5
180;Porodica_180;5
181;Porodica_181;5
182;Porodica_182;5
183;Porodica_183;5
184;Porodica_184;5
185;Porodica_185;5
186;Porodica_186;5
187;Porodica_187;5
188;Porodica_188;5
189;Porodica_189;5
190;Porodica_190;5
191;Porodica_191;5
192;Porodica_192;5
193;Porodica_193;5
194;Porodica_194;5
195;Porodica_195;5
196;Porodica_196;5
197;Porodica_197;5
198;Porodica_198;5
199;Porodica_199;5
200;Porodica_200;5
201;Porodica_201;5
202;Porodica_202;5
203;Porodica_203;5
204;Porodica_204;5
205;Porodica_205;5
206;Porodica_206;5
207;Porodica_207;5
208;Porodica_208;5
209;Porodica_209;5
210;Porodica_210;5
211;Porodica_211;5
212;Porodica_212;5
213;Porodica_213;5
214;Porodica_214;5
215;Porodica_215;5
216;Porodica_216;5
217;Porodica_217;5
218;Porodica_218;5
219;Porodica_219;5
220;Porodica_220;5
221;Porodica_221;5
222;Porodica_222;5
223;Porodica_223;5
224;Porodica_224;5
225;Porodica_225;5
226;Porodica_226;5
227;Porodica_227;5
228;Porodica_228;5
229;Porodica_229;5
230;Porodica_230;5
231;Porodica_231;5
232;Porodica_232;5
233;Porodica_233;5
234;Porodica_234;5
235;Porodica_235;5
236;Porodica_236;5
237;Porodica_237;5
238;Porodica_238;5
239;Porodica_239;5
240;Porodica_240;5
241;Porodica_241;5
242;Porodica_242;5
243;Porodica_243;5
244;Porodica_244;5
245;Porodica_245;5
246;Porodica_246;5
247;Porodica_247;5
248;Porodica_248;5
249;Porodica_249;5
250;Porodica_250;5
251;Porodica_251;5
252;Porodica_252;5
253;Porodica_253;5
254;Porodica_254;5
255;Porodica_255;5
256;Porodica_256;5
257;Porodica_257;5
258;Porodica_258;5
259;Porodica_259;5
260;Porodica_260;5
261;Porodica_261;5
262;Porodica_262;5
263;Porodica_263;5
264;Porodica_264;5
265;Porodica_265;5
266;Porodica_266;5
267;Porodica_267;5
268;Rod_268;6
269;Rod_269;6
270;Rod_270;6
271;Rod_271;6
272;Rod_272;6
273;Rod_273;6
274;Rod_274;6
275;Rod_275;6
276;Rod_276;6
277;Rod_277;6
278;Rod_278;6
279;Rod_279;6
280;Rod_280;6
281;Rod_281;6
282;Rod_282;6
283;Rod_283;6
284;Rod_284;6
285;Rod_285;6
286;Rod_286;6
287;Rod_287;6
288;Rod_288;6
289;Rod_289;6
290;Rod_290;6
291;Rod_291;6
292;Rod_292;6
293;Rod_293;6
294;Rod_294;6
295;Rod_295;6
296;Rod_296;6
297;Rod_297;6
298;Rod_298;6
299;Rod_299;6
300;Rod_300;6
301;Rod_301;6
302;Rod_302;6
303;Rod_303;6
304;Rod_304;6
305;Rod_305;6
306;Rod_306;6
307;Rod_307;6
308;Rod_308;6
309;Rod_309;6
310;Rod_310;6
311;Rod_311;6
312;Rod_312;6
313;Rod_313;6
314;Rod_314;6
315;Rod_315;6
316;Rod_316;6
317;Rod_317;6
318;Rod_318;6
319;Rod_319;6
320;Rod_320;6
321;Rod_321;6
322;Rod_322;6
323;Rod_323;6
324;Rod_324;6
325;Rod_325;6
326;Rod_326;6
327;Rod_327;6
328;Rod_328;6
329;Rod_329;6
330;Rod_330;6
331;Rod_331;6
332;Rod_332;6
333;Rod_333;6
334;Rod_334;6
335;Rod_335;6
336;Rod_336;6
337;Rod_337;6
338;Rod_338;6
339;Rod_339;6
340;Rod_340;6
341;Rod_341;6
342;Rod_342;6
343;Rod_343;6
344;Rod_344;6
345;Rod_345;6
346;Rod_346;6
347;Rod_347;6
348;Rod_348;6
349;Rod_349;6
350;Rod_350;6
351;Rod_351;6
352;Rod_352;6
353;Rod_353;6
354;Rod_354;6
355;Rod_355;6
356;Rod_356;6
357;Rod_357;6
358;Rod_358;6
359;Rod_359;6
360;Rod_360;6
361;Rod_361;6
362;Rod_362;6
363;Rod_363;6
364;Rod_364;6
365;Rod_365;6
366;Rod_366;6
367;Rod_367;6
368;Rod_368;6
369;Rod_369;6
370;Rod_370;6
371;Rod_371;6
372;Rod_372;6
373;Rod_373;6
374;Rod_374;6
375;Rod_375;6
376;Rod_376;6
377;Rod_377;6
378;Rod_378;6
379;Rod_379;6
380;Rod_380;6
381;Rod_381;6
382;Rod_382;6
383;Rod_383;6
384;Rod_384;6
385;Rod_385;6
386;Rod_386;6
387;Rod_387;6
388;Rod_388;6
389;Rod_389;6
390;Rod_390;6
391;Rod_391;6
392;Rod_392;6
393;Rod_393;6
394;Rod_394;6
395;Rod_395;6
396;Rod_396;6
397;Rod_397;6
398;Rod_398;6
399;Rod_399;6
400;Rod_400;6
401;Rod_401;6
402;Rod_402;6
403;Rod_403;6
404;Rod_404;6
405;Rod_405;6
406;Rod_406;6
407;Rod_407;6
408;Rod_408;6
409;Rod_409;6
410;Rod_410;6
411;Rod_411;6
412;Rod_412;6
413;Rod_413;6
414;Rod_414;6
415;Rod_415;6
416;Rod_416;6
417;Rod_417;6
418;Rod_418;6
419;Rod_419;6
420;Rod_420;6
421;Rod_421;6
422;Rod_422;6
423;Rod_423;6
424;Rod_424;6
425;Rod_425;6
426;Rod_426;6
427;Rod_427;6
428;Rod_428;6
429;Rod_429;6
430;Rod_430;6
431;Rod_431;6
432;Rod_432;6
433;Rod_433;6
434;Rod_434;6
435;Rod_435;6
436;Rod_436;6
437;Rod_437;6
438;Rod_438;6
439;Rod_439;6
440;Rod_440;6
441;Rod_441;6
442;Rod_442;6
443;Rod_443;6
444;Rod_444;6
445;Rod_445;6
446;Rod_446;6
447;Rod_447;6
448;Rod_448;6
449;Rod_449;6
450;Rod_450;6
451;Rod_451;6
452;Rod_452;6
453;Rod_453;6
454;Rod_454;6
455;Rod_455;6
456;Rod_456;6
457;Rod_457;6
458;Rod_458;6
459;Rod_459;6
460;Rod_460;6
461;Rod_461;6
462;Rod_462;6
463;Rod_463;6
464;Rod_464;6
465;Rod_465;6
466;Rod_466;6
467;Rod_467;6
468;Rod_468;6
469;Rod_469;6
470;Rod_470;6
471;Rod_471;6
472;Rod_472;6
473;Rod_473;6
474;Rod_474;6
475;Rod_475;6
476;Rod_476;6
477;Rod_477;6
478;Rod_478;6
479;Rod_479;6
480;Rod_480;6
481;Rod_481;6
482;Rod_482;6
483;Rod_483;6
484;Rod_484;6
485;Rod_485;6
486;Rod_486;6
487;Rod_487;6
488;Rod_488;6
489;Rod_489;6
490;Rod_490;6
491;Rod_491;6
492;Rod_492;6
493;Rod_493;6
494;Rod_494;6
495;Rod_495;6
496;Rod_496;6
497;Rod_497;6
498;Rod_498;6
499;Rod_499;6
500;Rod_500;6
501;Rod_501;6
502;Rod_502;6
503;Rod_503;6
504;Rod_504;6
505;Rod_505;6
506;Rod_506;6
507;Rod_507;6
508;Rod_508;6
509;Rod_509;6
510;Rod_510;6
511;Rod_511;6
512;Rod_512;6
513;Rod_513;6
514;Rod_514;6
515;Rod_515;6
516;Rod_516;6
517;Rod_517;6
518;Rod_518;6
519;Rod_519;6
520;Rod_520;6
521;Rod_521;6
522;Rod_522;6
523;Rod_523;6
524;Rod_524;6
525;Rod_525;6
526;Rod_526;6
527;Rod_527;6
528;Rod_528;6
529;Rod_529;6
530;Rod_530;6
531;Rod_531;6
532;Rod_532;6
533;Rod_533;6
534;Rod_534;6
535;Rod_535;6
536;Rod_536;6
537;Rod_537;6
538;Rod_538;6
539;Rod_539;6
540;Rod_540;6
541;Rod_541;6
542;Rod_542;6
543;Rod_543;6
